filename,ocr_text,matched_code
WhatsApp Image 2026-04-29 at 1.23.00 PM (1).jpeg,Kurta Pla patta 75 Eabric_Cotton_Size_XL 2XL L Dno_ 10027632,10027632
WhatsApp Image 2026-04-29 at 1.23.01 PM.jpeg,KS_ Kurta_with_Plazo_ Dupatta_7S_Eabric_Cotton_Size_XL_2XI 1635,10027635
WhatsApp Image 2026-04-29 at 1.23.06 PM (2).jpeg,"<S_Kuta with Pants & Dupatta-55 Fabric-Cotton Size-XL,2XLML Dno-2_27_10027684",10027684
WhatsApp Image 2026-04-29 at 1.25.52 PM (1).jpeg,"Gown- 97 Fabric Vichitra SilkSize ,",10027734
WhatsApp Image 2026-04-29 at 1.27.19 PM.jpeg,"KS_Co-ord set-92 Fabric-Roman Glass Size-XL,2XL,M,L Dno-2_27 10027736",10027736
WhatsApp Image 2026-04-29 at 1.27.05 PM.jpeg,KS Coord set 99 Eabric Chinon Size-XL 2XEMEDno 27 10027760,10027760
WhatsApp Image 2026-04-29 at 1.27.04 PM (1).jpeg,KS Coord set-99 Fabric Clinon Size-XL2XLML Dno-2 27 10027761,10027761
WhatsApp Image 2026-04-29 at 1.24.50 PM (1).jpeg,"KS Co-ord set-62 Fabric-Cotton Size-XL,2XL,M,L Dno-5 27 10027806",10027806
WhatsApp Image 2026-04-29 at 1.23.07 PM.jpeg,<S_Kuta with Pants & Dupatta-55 Fabric-Cotton Size-XI Dno 27 10027896,10027896
WhatsApp Image 2026-04-29 at 1.24.05 PM.jpeg,"KS Co-ord set-62 Fabric-Cotton Size-XL,ZXMuM, Dno-5 27 10027912",10027912
WhatsApp Image 2026-04-29 at 1.25.50 PM (1).jpeg,"KS Gown-92 Fabric-Mal Chanderi Size-XL2XL,M,L Dno-6 27 10028093",10028093
WhatsApp Image 2026-04-29 at 1.24.45 PM (1).jpeg,"KS_Co-ord set-85 Fabric-Cotton Size-XL,2XL,3XL ML Dno-5_27 10028130",10028130
WhatsApp Image 2026-04-29 at 1.27.20 PM.jpeg,"KS_Co-ord set-75 Fabric-Roman Glass Size-XL,2XLML Dno-4 27-10028196",10028196
WhatsApp Image 2026-04-29 at 1.27.19 PM (1).jpeg,"KS '0-ord set-75 Fabric-Roman Glass Size-XL,2XL ML Dno-3_27, 10028197",10028197
WhatsApp Image 2026-04-29 at 1.25.54 PM.jpeg,XL RXL KS-Gown-99 Fabric-Chnon Size-XE2XLML Dnos5_27 10028231,10028231
WhatsApp Image 2026-04-29 at 1.27.20 PM (2).jpeg,"KS Co-ord set-77 Fabric-Glass Organza Size-XL,2XL,M,L Dno-8 27 10028257",10028257
WhatsApp Image 2026-04-29 at 1.22.58 PM.jpeg,"KS_Co-ord set-33 Fabric-Cotton Size-XL,2XL,M,L Dno-3 27 10028268",10028268
WhatsApp Image 2026-04-29 at 1.22.58 PM (1).jpeg,"KS_Co-ord set-33 Fabric-Cotton Size-XL,2XL,M,L Dno-5_27 10028269",10028269
WhatsApp Image 2026-04-29 at 1.26.57 PM (1).jpeg,"fabric but tuxedos,tweed and whole lot of attitude Kurta with Plazo & Dupatta-132 Fabric-Tissue Size-XL,2XLML Dno-2 27 10028447/",10028447
WhatsApp Image 2026-04-29 at 1.27.22 PM.jpeg,"KS Co-ord set-77 Fabric-Roman Glass Size-XL,AXL,M,L Dno-5 27 10028448",10028448
WhatsApp Image 2026-04-29 at 1.27.21 PM.jpeg,LaSILk KS Co-ord set Fabric_Roman Glass SizeXE2XEMLDni-2 27 10028449,10028449
WhatsApp Image 2026-04-29 at 1.27.23 PM.jpeg,"UUULA Sher KS_Cosord set-79 Fabric CRUNCHY CRUSH Size-XL,2XL ME Dno-4,2 10028520 chocn Nan utrlal U Aur ~Msczhoeoin | Adnceutt",10028520
WhatsApp Image 2026-04-29 at 1.24.31 PM.jpeg,"KS_Co-ord set-92 Fabric-Cotton Size-XL,2XL,M,L Dno-5 27 10028568 T U",10028568
WhatsApp Image 2026-04-29 at 1.24.32 PM.jpeg,"KS Co-ord set-92 Fabric-Cotton Size-XL,2XL,M,L Dno-6 27 10028569 K(",10028569
WhatsApp Image 2026-04-29 at 1.27.16 PM.jpeg,"KS_Co-ord set-87 Fabric-Roman Glass Size-XL,2XL,M,L Dno-4 27 10028629",10028629
WhatsApp Image 2026-04-29 at 1.27.11 PM (1).jpeg,"KS Cozord set-87 Fabric-Roman Glass Size-XL,2XL,M,L Dno-2 27 10028630",10028630
WhatsApp Image 2026-04-29 at 1.27.14 PM (1).jpeg,"KS Co-ord set-87 Fabric-Roman Glass Size-XL,2XL,M,L Dno-3_27 10028636",10028636
WhatsApp Image 2026-04-29 at 1.27.12 PM.jpeg,"KS_Co-ord set-87 Fabric-Roman Glass Size-XL,2XL,M,L Dno-2_27 10028637",10028637
WhatsApp Image 2026-04-29 at 1.27.12 PM (1).jpeg,"KS Co-ord set-87 Fabric-Roman Glass Size-XL,2XL,M,L Dno-2 27 10028638",10028638
WhatsApp Image 2026-04-29 at 1.27.13 PM.jpeg,"KS_Co-ord set-87 Fabric-Roman Glass Size-XL,2XL,M,L Dno-2 27 10028639",10028639
WhatsApp Image 2026-04-29 at 1.27.13 PM (1).jpeg,"KS_Co-ord set-87 Fabric-Roman Glass Size-XL,2XL,M,L Dno-2 27 10028641",10028641
WhatsApp Image 2026-04-29 at 1.23.09 PM (1).jpeg,"Kuita with Pants & Dupatta-55 Fabric-Cotton Size-XL,2XL ML Dno-7_27_10028753",10028753
WhatsApp Image 2026-04-29 at 1.23.09 PM.jpeg,"Kuita with Pants & Dupatta-55 Fabric-Cotton Size-XL,2XL ML Dno-6_27_10028754",10028754
WhatsApp Image 2026-04-29 at 1.23.08 PM.jpeg,"KS_Kuta with Pants & Dupatta-55 Fabric-Cotton Size-XL,2XL ML Dno-5_27_10028755",10028755
WhatsApp Image 2026-04-29 at 1.23.10 PM.jpeg,"KS_Kuta with Pants & Dupatta-S5 Fabric-Cotton Size-XL,2XL,ML Dno-8_27_10028757",10028757
WhatsApp Image 2026-04-29 at 1.23.07 PM (2).jpeg,"KS_Kuta with Pants & Dupatta-55 Fabric-Cotton Size-XL,2XLML Dno-3_27_10028758",10028758
WhatsApp Image 2026-04-29 at 1.25.43 PM (1).jpeg,This festive season make everyday fashionable with great range from KS Gown-109 Fabfo Mal tlu? e<-WaWe festive culiectior fosrni M Dio-3 27 10028794,10028794
WhatsApp Image 2026-04-29 at 1.24.08 PM.jpeg,KS Gown-87 Fabric_Cotton Size-XL 2XL MLDno-4 27 10028810,10028810
WhatsApp Image 2026-04-29 at 1.27.02 PM.jpeg,"M XL <8 Kurta with-Plazo & Dupatta-79 Fabric-RomarWlass-sizi-XL,2XL,ML Dno-2_27_10028818",10028818
WhatsApp Image 2026-04-29 at 1.25.47 PM (2).jpeg,"KS Gown-87 Fabric-Mal Chanderi Size- XLM,L Dno-2_27 10028831 XL,",10028831
WhatsApp Image 2026-04-29 at 1.23.11 PM (1).jpeg,"KS Gown- 02 Fabric-Cotton Size-XL,2XL,L Dno-3_27 10028845",10028845
WhatsApp Image 2026-04-29 at 1.25.43 PM.jpeg,"KS Gown-107 Fabric-Mal Chanderi Size-XL,2XLM,L Dno-2 27 10028892",10028892
WhatsApp Image 2026-04-29 at 1.25.46 PM.jpeg,SSENCE OF CREAT FASHION KS_Gown-L09 Fabric_Vichitra_Silk Size_XL2XLLDno _ 27 10028959,10028959
WhatsApp Image 2026-04-29 at 1.25.45 PM.jpeg,"OSSENCE OF GREAT FASHION KS Gown-109 Fabric-Vichitra Silk Size-XL,2XL,L Dno-2 27 10028960",10028960
WhatsApp Image 2026-04-29 at 1.25.45 PM (1).jpeg,KS_Gown-L09 Eabric_Vichitra_Silk_Size-XL2XLL Dno-6 27_ 10028961_,10028961
WhatsApp Image 2026-04-29 at 1.27.00 PM.jpeg,Kut_with Plazo Dupalla-102_FEabric_Eendi_Size-XLZXLML Dno-4 10028978],10028978
WhatsApp Image 2026-04-29 at 1.23.02 PM (1).jpeg,"KS_Kurta with Pants Dupatta-125 Fabric-Cotton Size-XL,2XL,3XL,L Dno-2_27_ 10029028",10029028
WhatsApp Image 2026-04-29 at 1.23.03 PM.jpeg,"KS_Kurta with Pants & Dupatta-125 Fabric-Cotton Size-XL,2XL,3XL,L Dno-3_27 10029029",10029029
WhatsApp Image 2026-04-29 at 1.27.09 PM.jpeg,"KS_Co-ord set-85 Fabric-Roman Glass Size-XL,2XLML Dno-6_27 10029034",10029034
WhatsApp Image 2026-04-29 at 1.27.08 PM.jpeg,"KS Co-ord set-85 Fabric-Roman Glass Size-XL,2XLM,L Dno-5 27 10029035",10029035
WhatsApp Image 2026-04-29 at 1.27.23 PM (2).jpeg,"KS-Co-ord set-85 Fabric-Roman Glass Size-XL,2XL,M,L Dno-3 27 10029036",10029036
WhatsApp Image 2026-04-29 at 1.27.21 PM (1).jpeg,YaSk KS Co-ord set- Fabric_Roman Glass Size XE2XEMEDwi-4_27 10029107,10029107
WhatsApp Image 2026-04-29 at 1.25.57 PM (1).jpeg,"KS_Gown-119 Fabric-Jimmichu Size-XL,2XL,M,L Dno-4_27 10029120",10029120
WhatsApp Image 2026-04-29 at 1.27.05 PM (1).jpeg,"KS_Co-ord set-99 Fabric-Shimmer Size-XL,2XL M,L Dno-5 27 10029122",10029122
WhatsApp Image 2026-04-29 at 1.27.06 PM.jpeg,KS Co-ord set-99 Fabric-Shimmer Size-XL2XLML Dno 5_27 10029123,10029123
WhatsApp Image 2026-04-29 at 1.27.10 PM (1).jpeg,"KS_Co-ord set-87 Fabric-Mal Chanderi Size-XL,2XL,M,L Dno-3_27 10029125",10029125
WhatsApp Image 2026-04-29 at 1.27.11 PM.jpeg,"KS_Co-ord set-87 Fabric-Mal Chanderi Size-XL,2XL,ML Dno-3_27 10029126",10029126
WhatsApp Image 2026-04-29 at 1.24.13 PM.jpeg,"KS_Co-ord set-99 Fabric-Cotton Size-XL,2XL,3XLM,L Dno-2 27 10029128",10029128
WhatsApp Image 2026-04-29 at 1.23.02 PM.jpeg,"KS Kurta with Pants & Dupatta-115 Fabric-Cotton Size-XL,2XL,3XL,M,L Dno-2_27 10029129",10029129
WhatsApp Image 2026-04-29 at 1.23.10 PM (2).jpeg,"Kurta-with Pants & Dupatta-77 Fabric-Cotton Size-XL,2XL,M,L Dno-4 27 10029131",10029131
WhatsApp Image 2026-04-29 at 1.23.04 PM.jpeg,S Kurta with Pants & Dupatta-8S Fabric-Cotton Size XE2XI ML Dno  27 10029142 2,10029142
WhatsApp Image 2026-04-29 at 1.27.24 PM.jpeg,"KS_Co-ord set-65-Fabric-Roman Silk Size-XL,2XL,M,L Dno-2_27_10029215",10029215
WhatsApp Image 2026-04-29 at 1.24.41 PM (1).jpeg,"KS_Co-ord set-75 Fabric-Cotton Size-XL,2XL,M,L Dno-1l 27 10029228",10029228
WhatsApp Image 2026-04-29 at 1.24.06 PM (2).jpeg,Cozord_set_Z Eabx @ullon_Size_XEDXL Dno-4 0029230,10029230
WhatsApp Image 2026-04-29 at 1.24.06 PM.jpeg,KS_ Co_ocd_set_ZS_E_liic_Cotton_Size_XL_2XLML Dno,10029231
WhatsApp Image 2026-04-29 at 1.23.04 PM (2).jpeg,"3 Kurta with Pants & Dupatta-87 Fabric-Cotton Size-XL,2XL,M,L Dno-3_ 27 10029232",10029232
WhatsApp Image 2026-04-29 at 1.24.06 PM (1).jpeg,FUIY n Feminine her dream in fashion dream a Word can givee inspiration to US our dream is to create excellent designs forbeautiful lady Ks_Co-ord set-75 Fabric-Cotton Size-XLZXI  Dno 3 27 T0U29232,10029232
WhatsApp Image 2026-04-29 at 1.25.51 PM.jpeg,"KS_Gown-95 Fabric-Mal Chanderi Size-XL,2XL,M,L Dno-4 27 10029240",10029240
WhatsApp Image 2026-04-29 at 1.25.52 PM.jpeg,"KS_Gown-95 Fabric-Mal Chanderi Size-XL,2XL,M,L Dno-4_27 10029241",10029241
WhatsApp Image 2026-04-29 at 1.27.24 PM (1).jpeg,"KS_Co-ord set-69 Fabric-Mal Chanderi Size-XL,2XL,M,L Dno-3_27 10029242",10029242
WhatsApp Image 2026-04-29 at 1.27.25 PM.jpeg,"KS_Co-ord set-69 Fabric-Mal Chanderi Size-XL,2XL,M,L Dno-727_10029244",10029244
WhatsApp Image 2026-04-29 at 1.24.15 PM.jpeg,"KS Co-ord set-99 Fabric-Cotton Size-XL,2XL,M,L Dno-2 27 10029262",10029262
WhatsApp Image 2026-04-29 at 1.24.15 PM (1).jpeg,"KS Co-ord set-99 Fabric-Cotton Size-XL,2XL,M,L Dno-2 27 10029263",10029263
WhatsApp Image 2026-04-29 at 1.24.48 PM.jpeg,"KS Co-ord set-57 Fabric-e potton Size-XL,2XL,3XLML Dno-4 27.10029272",10029272
WhatsApp Image 2026-04-29 at 1.24.49 PM.jpeg,"KS_Co-ord set-57 Fabric-Cotton Size-XL,2XL,3XL,M,L Dno-4 27.10029273",10029273
WhatsApp Image 2026-04-29 at 1.24.50 PM.jpeg,Lashn KS_Co-ord set-62 Fabric-Cotton Size-XL2XI ML Dno-3127 10029274,10029274
WhatsApp Image 2026-04-29 at 1.27.25 PM (1).jpeg,"KS_Co-ord set-72 Fabric-Roman Glass Size-XL,2XL M,L Dno-3 27 10029305",10029305
WhatsApp Image 2026-04-29 at 1.27.26 PM.jpeg,"KS_Co-ord set-72 Fabric-Roman Glass Size-XL,2XL,M,L Dno-3_27 10029306",10029306
WhatsApp Image 2026-04-29 at 1.25.42 PM (1).jpeg,KS Gown-102 Fabric-Mal Chanderi Size-XL2XLML Dno-4 27 10029326,10029326
WhatsApp Image 2026-04-29 at 1.25.42 PM (2).jpeg,"KS Gown-102 Fabric-Mal Chanderi Size_XLZXLML Dno 5,27 10029327",10029327
WhatsApp Image 2026-04-29 at 1.25.48 PM (1).jpeg,KS Gown-87 Fabric-Mal Chanderi Size-XL2XLML Dno-5.27 10029328,10029328
WhatsApp Image 2026-04-29 at 1.25.49 PM.jpeg,KS Gown-87 Fabric-Mal Chanderi Size XL2XLML Dno- 6 27 10029329,10029329
WhatsApp Image 2026-04-29 at 1.25.49 PM (1).jpeg,KS Gown-87 Fabric-Mal Chanderi SizeXL2XLML Dno-6 27 10029330,10029330
WhatsApp Image 2026-04-29 at 1.24.34 PM.jpeg,"KS_Co-ord set-95 Fabric-Cotton Size-XL,2XL,M,L Dno-6 27 10029331 Vaalde  JM",10029331
WhatsApp Image 2026-04-29 at 1.24.44 PM.jpeg,"KS Co-ord set-79 Fabric-Cotton Size-XL,2XL3XLML Dno-3 27 10029345",10029345
WhatsApp Image 2026-04-29 at 1.24.45 PM.jpeg,"KS_Co-ord set-79 Fabric-Cotton Size XL,2XLBXL,ML Dno-4 27 10029346",10029346
WhatsApp Image 2026-04-29 at 1.23.12 PM.jpeg,"KS Gown-112 Fabric-Cotton Size-XL,2XL,3XLM,L Dno-6 27 10029350",10029350
WhatsApp Image 2026-04-29 at 1.24.07 PM.jpeg,"KS_Gown-112 Fabric-Cotton Size-XL,2XLMM,L Dno-5 27 10029353",10029353
WhatsApp Image 2026-04-29 at 1.23.05 PM (1).jpeg,"KS_Gown-125 Fabric-Cotton Size-XL,2XL,M,L Dno-6_27 10029354",10029354
WhatsApp Image 2026-04-29 at 1.23.06 PM.jpeg,"KS_Gown-125 Fabric-Cotton Size-XL,2XL,M,L Dno-6_27_ 10029355",10029355
WhatsApp Image 2026-04-29 at 1.23.06 PM (1).jpeg,"Kuita with Pants & Dupatta 55 Fabric-C otton Size-XL,2XL ML Dno 2 27010027281",10029355
WhatsApp Image 2026-04-29 at 1.24.08 PM (1).jpeg,"KS_Gown-89 Fabric-Cotton Size-XL,2XL,3XL,M,L Dno-6_27 10029365",10029365
WhatsApp Image 2026-04-29 at 1.24.24 PM.jpeg,"KS Co-ord set-112 Fabric-Cotton Size-XL,2XLML Dno-3 27 10029367",10029367
WhatsApp Image 2026-04-29 at 1.24.17 PM (1).jpeg,"KS Co-ord set-107 Fabric-Cotton Size-XL,2XLML Dno-5 10029369 '27",10029369
WhatsApp Image 2026-04-29 at 1.24.23 PM.jpeg,"KS_Co-ord set-112 Fabric-Cotton Size-XL,2XL ML Dno-2_27_10029370",10029370
WhatsApp Image 2026-04-29 at 1.25.54 PM (1).jpeg,"KS_Gown-85 Fabric-Mal Chanderi Size-XL,2XLM,L Dno-4 27 10029409",10029409
WhatsApp Image 2026-04-29 at 1.25.55 PM.jpeg,00 KS Gown-85 Fabric Mal Chanderi-Size-XL2XLME Dno-4 2710029410,10029410
WhatsApp Image 2026-04-29 at 1.25.38 PM (1).jpeg,KS_Gown-99 Fabric-Mal Chanderi Size-XLZXLML Dno-3 27 10029416 _,10029416
WhatsApp Image 2026-04-29 at 1.25.39 PM (1).jpeg,KS_ Gown-99_Eabric-Mal Chanderi_Size-XLAXLML Dno-4 27 10029417,10029417
WhatsApp Image 2026-04-29 at 1.25.40 PM.jpeg,KS Gown-99_Eabric Mal Chanderi Size,10029418
WhatsApp Image 2026-04-29 at 1.27.23 PM (1).jpeg,"KS_Co-ord set-82 Fabric-Chicken Size-XL,2XL,M,L Dno-8_27_ 10029433",10029433
WhatsApp Image 2026-04-29 at 1.24.19 PM.jpeg,"KS_Co-ord set-112 Fabric-Cotton Size-XL,2XL,3XLML Dno-3_27_ 10029440",10029440
WhatsApp Image 2026-04-29 at 1.24.21 PM.jpeg,"KS_Co-ord set-112 Fabric-Cotton Size-XL,2XL,3XLM,L Dno-3_27 10029441",10029441
WhatsApp Image 2026-04-29 at 1.24.14 PM.jpeg,"KS Co-ord set-99 Fabric-Cotton Size-XL,2XL,3XLML Dno-3_27_ 10029443",10029443
WhatsApp Image 2026-04-29 at 1.24.14 PM (1).jpeg,"KS Co-ord set-99 Fabric-Cotton Size-XE,2XL,BXEML Dnoj3 27 10029444",10029444
WhatsApp Image 2026-04-29 at 1.25.46 PM (1).jpeg,KS Gown-85 Fabric-Mal Chanderi Size-XL 2XL MLDno-4 27 10029447,10029447
WhatsApp Image 2026-04-29 at 1.25.47 PM.jpeg,KS Gown-85 Fabric-Mal Chanderi Size-XL 2XLMLDno-4 27 10029448,10029448
WhatsApp Image 2026-04-29 at 1.24.05 PM (1).jpeg,"KS_Co-ord set-69 Fabric-Cotton Size-XL,2XLML Dno-6 27 10029463",10029463
WhatsApp Image 2026-04-29 at 1.24.07 PM (1).jpeg,"KS_Gown-112 Fabric-Cotton Size-XL,2XL,M,L Dnoz6_27-10029352",
WhatsApp Image 2026-04-29 at 1.24.39 PM (1).jpeg,"KS Co-ord set-75 Fabric-Cotton Size-XL,2XLML Dno-5 2710029460",
WhatsApp Image 2026-04-29 at 1.24.29 PM.jpeg,KS_Co-ord set-112 Fabric-Cotton Size-XL 2XL ML Dno-5_27_10029372,
WhatsApp Image 2026-04-29 at 1.24.09 PM (1).jpeg,KS_Gown-99 Fabric-Cotton Size-XL 2XL ML Dno-6 27 10029472,
WhatsApp Image 2026-04-29 at 1.24.40 PM.jpeg,U nulW€ UUU]A ( WE MISSED KS Co-ord set-75 Fabric-Cotton Size-XLZXLMLDnos10 27410029457,
WhatsApp Image 2026-04-29 at 1.24.39 PM.jpeg,"KS Co-ord set-75 Fabric-Cotton Size-XL,2XLML Dno-5 2710029459",
WhatsApp Image 2026-04-29 at 1.24.18 PM.jpeg,"KS Co-ord set-109 Fabric-Cotton Size-XL,2XLMM,L Dno-3_27 10029364",
WhatsApp Image 2026-04-29 at 1.24.25 PM.jpeg,"KS_Co-ord set-112 Fabric-Cotton Size-XL,2XL,M,L Dno-5 27 10029363",
WhatsApp Image 2026-04-29 at 1.24.38 PM.jpeg,"KS Co-ord set-75 Fabric-Cotton Size-XL,2XL ML Dno-4 27 10029462",
WhatsApp Image 2026-04-29 at 1.24.28 PM.jpeg,"KS_Co-ord set-112 Fabric-Cotton Size-XL,2XL ML Dno-5_2710029371",
WhatsApp Image 2026-04-29 at 1.24.17 PM.jpeg,"KS_Co-ord set-105 Fabric-Cotton Size-XL,2XL,M,L Dno-6_27 10029332",
WhatsApp Image 2026-04-29 at 1.24.27 PM.jpeg,"KS_Co-ord set-112 Fabric-Cotton Size-XL,2XL ML Dno-5_27_10029366",
WhatsApp Image 2026-04-29 at 1.24.22 PM.jpeg,"KS_Co-ord set-112 Fabric-Cotton Size-XL,2XL,3XLML Dno-5_27 10029439",
WhatsApp Image 2026-04-29 at 1.24.16 PM.jpeg,KS Co-ordset Fabric-Cotton Size,
WhatsApp Image 2026-04-29 at 1.24.30 PM.jpeg,"KS_Co-ord set-125 Fabric-Cotton Size-XL,2XL,3XL M,L Dno-5_27 10029442",
WhatsApp Image 2026-04-29 at 1.24.37 PM.jpeg,KS Co-ord set-75_Eabric-Cotton Size XL2XLML Dno-4 27 10029233,
WhatsApp Image 2026-04-29 at 1.24.37 PM (1).jpeg,"KS Co-ord set-75 Fabric-Cotton Size-XL,2XL ML Dno-4 27 10029461",
WhatsApp Image 2026-04-29 at 1.24.09 PM.jpeg,KS Gown-99 Fabric-Cotton Size-XL 2XL ML Dno-6 27 0029,
WhatsApp Image 2026-04-29 at 1.24.41 PM.jpeg,KS Co-ord set-75 Fabric-Cotton Size-XL2XILML Dno-l0 27 10029458,
WhatsApp Image 2026-04-29 at 1.24.46 PM.jpeg,"KS Co-ord set 57 Fabric-Cotton Size-XL,2XLBXEME Dno 2710029271",
WhatsApp Image 2026-04-29 at 1.24.42 PM.jpeg,KS Co-ord set-75 Fabric-Cottor Size XL2XLMLDno-I 27 1002922,
WhatsApp Image 2026-04-29 at 1.24.47 PM.jpeg,"FLIGHTS OF FANCY Enjoy sophistication with our elegant creations, exclusively designed to bring you the premium in fashion_ KS_Co-ord-sets--Erbric-Cotton-Size-XL,2H EEBXXIAFL RCDn8).4o F4FHI40029 2Y0",
WhatsApp Image 2026-04-29 at 1.24.49 PM (1).jpeg,"KS_Co-ord set-57 Fabric-Cotton Size-XL,2XL,M,L Dno-6 27 10029454",
WhatsApp Image 2026-04-29 at 1.27.03 PM.jpeg,"'8 Kurta with Plazo & Dupatta-95 Fabric-Fendi Size-XL,2XLML Dno-2 27 8}",
WhatsApp Image 2026-04-29 at 1.26.59 PM (1).jpeg,M L XL XXL Kurta with Plazo & Dupatta-99 Tabiic ChnenSZXE2XL ML Dno 5 10 PAS=,
WhatsApp Image 2026-04-29 at 1.27.01 PM.jpeg,Kuta_withPlazo Dupalla-102_Eabric_Eendi_Size-XLZXLML Dno-6 1002897,
WhatsApp Image 2026-04-29 at 1.27.04 PM.jpeg,"3 Kurta with Plazo & Dupatta-I15 Fabric-Two tone Size-XL,2XL,ML Dno-3_27 1002775",
WhatsApp Image 2026-04-29 at 1.27.18 PM (1).jpeg,KS Co ord 87 Fabric Roman Silk Size MLXL2XL Dno 2 2710016728 ~scl ;,
WhatsApp Image 2026-04-29 at 1.27.18 PM.jpeg,"KS Co-ord set-87 Fabric-Roman Glass Size-XL,2XLM,L Dno-5_27 10028635",
WhatsApp Image 2026-04-29 at 1.27.07 PM.jpeg,"KS_Co-ord set-99 Fabric-Shimmer Size-XL,2XLM,L Dno-6 27 10029121 (oooncrat (odrnoncod",
WhatsApp Image 2026-04-29 at 1.27.17 PM.jpeg,"KS Co-ord set-87 Fabric-Roman Glass Size-XL,2XLM,L Dno-5 27 10028632",
WhatsApp Image 2026-04-29 at 1.27.17 PM (1).jpeg,"KS Co-ord set-87 Fabric-Roman Glass Size-XL,2XL,M,L Dno-5 27 10028633",
WhatsApp Image 2026-04-29 at 1.27.16 PM (1).jpeg,KS Co-ord set-87 FabriezRoman Glass Size XL 2XKM L Dno-5 27 10028631,
WhatsApp Image 2026-04-29 at 1.27.22 PM (1).jpeg,"1 KS Co-ord set-79 Fabric-CRUNCHY-CRU Size-XL;2XL,ML Dno-2 2710028518",
WhatsApp Image 2026-04-29 at 1.27.17 PM (2).jpeg,"KS Co-ord set-87 Fabric-Roman Glass Size-XL,2XL,M,L Dno-5 -27 10028634",
WhatsApp Image 2026-04-29 at 1.27.20 PM (1).jpeg,"KS_Co-ord set-75 Fabric-Roman Glass-Size-XL,2XL ML Dno-5 27 10028198",
